Employee_ID,Full_Name,Age,Gender,Join_Date,Department,Salary,Location,Performance_Score
3001,Noah Wilson,27.0,Male,2015/09/23,HR,62000.0,new york,85.0
3002,James Lee,27.0,Male,invalid_date,Sales,70000.0,san francisco,85.0
3003,Person_52,29.0,Male,2014/08/18,HR,0.0,New York,
3004,Person_24,25.0,,invalid_date,Sales,,new york,
3005,Person_37,27.0,Fmale,2015/09/17,Marketing,67000.0,Los Angeles,85.0
3006,Abigail King,25.0,Female,invalid_date,IT,75000.0,San Francisco,90.0
3007,Person_55,999.0,Male,2016-04-27,Sales,0.0,los angeles,
3008,Person_35,45.0,,invalid_date,IT,75000.0,los angeles,92.0
3009,Aiden Green,45.0,Fmale,invalid_date,Marketing,62000.0,,90.0
3010,Person_36,27.0,,10-02-2017,IT,70000.0,New York,90.0
3011,Elijah Scott,33.0,Fmale,invalid_date,marketing,70000.0,san francisco,
3012,Person_55,,Fmale,2023/10/11,marketing,62000.0,,78.0
3013,Person_24,999.0,Female,28-04-2022,Marketing,,new york,85.0
3014,Person_24,25.0,Fmale,invalid_date,Marketing,,los angeles,92.0
3015,Person_48,,Female,invalid_date,Finance,67000.0,New York,92.0
3016,Person_54,33.0,Female,invalid_date,marketing,0.0,,92.0
3017,Person_44,999.0,Female,2018/05/30,HR,55000.0,los angeles,
3018,Person_24,45.0,Male,2023-04-27,Marketing,0.0,los angeles,
3019,Person_32,45.0,Fmale,invalid_date,Finance,55000.0,San Francisco,
3020,Emma Watson,27.0,,invalid_date,Sales,55000.0,san francisco,88.0
3021,Person_27,25.0,Male,2024-06-20,Sales,67000.0,san francisco,88.0
3022,Person_54,29.0,Female,invalid_date,Finance,62000.0,new york,92.0
3023,Person_45,30.0,Fmale,09-11-2023,IT,0.0,san francisco,
3024,Person_36,27.0,Female,invalid_date,Sales,75000.0,New York,88.0
3025,Person_42,29.0,Fmale,2021/09/02,HR,75000.0,san francisco,85.0
3026,Person_54,27.0,Male,invalid_date,IT,75000.0,New York,88.0
3027,Mason Young,33.0,,2017-04-08,Finance,,San Francisco,88.0
3028,Person_57,29.0,Fmale,25-05-2024,Marketing,55000.0,San Francisco,92.0
3029,Person_53,27.0,Female,invalid_date,Marketing,67000.0,New York,
3030,Person_59,30.0,Male,2016/06/05,HR,62000.0,los angeles,92.0
3031,James Lee,30.0,Male,2019-03-17,Marketing,67000.0,Los Angeles,
3032,Person_27,,,invalid_date,IT,62000.0,san francisco,88.0
3033,Ethan Clark,999.0,,invalid_date,HR,70000.0,San Francisco,90.0
3034,Person_46,29.0,,2015/03/12,Finance,75000.0,new york,90.0
3035,Person_49,29.0,,2016-09-19,marketing,62000.0,New York,
3036,Liam Brown,999.0,Male,invalid_date,IT,55000.0,Los Angeles,85.0
3037,Person_36,33.0,Male,26-08-2018,Sales,,,92.0
3038,Person_25,33.0,,17-03-2016,Sales,55000.0,,
3039,Person_35,27.0,Fmale,29-05-2015,IT,67000.0,New York,92.0
3040,John Smith,27.0,,invalid_date,Sales,67000.0,new york,78.0
3041,Person_49,25.0,Female,invalid_date,HR,75000.0,San Francisco,90.0
3042,Person_39,29.0,,invalid_date,HR,67000.0,new york,78.0
3043,Person_51,29.0,Male,2021-02-04,HR,70000.0,New York,88.0
3044,Charlotte Hall,45.0,Fmale,09-02-2023,Finance,,New York,78.0
3045,Person_39,,Female,25-10-2022,marketing,75000.0,new york,92.0
3046,James Lee,27.0,,19-09-2019,Marketing,67000.0,Los Angeles,
3047,Person_21,27.0,,invalid_date,Finance,,Los Angeles,78.0
3048,Amelia Lewis,30.0,Fmale,2023-02-10,IT,55000.0,San Francisco,78.0
3049,Person_58,45.0,Fmale,2021-12-15,Finance,75000.0,New York,85.0
3050,Mia Johnson,,Male,invalid_date,Finance,70000.0,san francisco,92.0
3051,Person_56,33.0,Male,invalid_date,Finance,62000.0,San Francisco,85.0
3052,Person_54,45.0,Male,invalid_date,IT,,Los Angeles,78.0
3053,Person_28,,,invalid_date,HR,55000.0,san francisco,
3054,Person_53,29.0,Fmale,17-12-2019,marketing,62000.0,los angeles,78.0
3055,Person_57,999.0,Female,invalid_date,HR,67000.0,san francisco,90.0
3056,Aiden Green,45.0,Male,2017-12-31,marketing,,new york,88.0
3057,Person_44,45.0,,2018/07/19,Finance,55000.0,san francisco,
3058,Sophia Adams,25.0,Fmale,invalid_date,Sales,55000.0,San Francisco,88.0
3059,Person_31,999.0,Fmale,invalid_date,IT,0.0,New York,92.0
3060,Mia Johnson,27.0,,13-06-2019,Marketing,,,88.0
3061,Lucas Martin,999.0,Female,2015/06/11,Marketing,62000.0,Los Angeles,85.0
3062,Lucas Martin,45.0,,invalid_date,marketing,70000.0,,90.0
3063,Isabella Garcia,,Fmale,20-02-2019,IT,67000.0,san francisco,85.0
3064,Logan Allen,25.0,Male,13-01-2020,IT,70000.0,san francisco,85.0
3065,Person_48,27.0,Fmale,2023/06/20,Marketing,75000.0,los angeles,90.0
3066,Person_42,27.0,Female,invalid_date,Finance,75000.0,Los Angeles,78.0
3067,Person_29,,Female,invalid_date,Sales,0.0,,
3068,Person_46,30.0,Male,30-12-2015,marketing,0.0,San Francisco,
3069,Person_55,45.0,Fmale,invalid_date,Finance,,New York,
